system_name,preset,lineage,block,split,status,evidence_type,fairness_status,trust_tier,n_questions,composite_score,public_score,private_score,final_rank,local_counterpart,answer_accuracy,doc_accuracy,page_proximity,runtime_total_seconds,rerank_seconds,avg_score_delta,doc_flip_rate,page_change_rate,answer_change_rate,per_domain_score_delta,config_hash,hardware_tag,artifact_dir,notes,methodology_flags,gpu_memory_snapshots
smoke_v9_10,v9_regression,v9_regression,failure_analysis,10q,artifact_present,offline_named_preset,fair,trusted_offline,10,0.7924242424242424,,,,,0.9,0.7,0.6696969696969697,141.6139407157898,84.45775079727173,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/smoke_v9_10,,,[]
v9_full_dev,v9_regression,v9_regression,failure_analysis,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.7433625267466104,,,,,0.8134490238611713,0.7114967462039046,0.6350553130601936,1416.7238957881927,206.2665958404541,-0.12004441654207716,0.30151843817787416,0.5336225596529284,0.15835140997830802,"{""domain_1"": -0.07018517334795306, ""domain_2"": -0.15758103309126564}",,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/v9_full_dev,,,[]
candidate_lapalm_v1_fold0,candidate_lapalm_v1,candidate_lapalm_v1,model_choice,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8429921513274197,,,,,0.8356164383561644,0.9178082191780822,0.7829275094192666,256.27785754203796,97.2899010181427,0.012122814711623625,0.0684931506849315,0.0958904109589041,0.1506849315068493,"{""domain_1"": 0.023288565103908542, ""domain_2"": 0.0}",020bd5a6b29349db963013bb3dfa5e2822147ba3b396686db814a1dc57284121,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_lapalm_v1_fold0,,,[]
candidate_stronger_reranker_v1_50,candidate_stronger_reranker_v1,candidate_stronger_reranker_v1,model_choice,50q,artifact_present,historical_confounded,not_fair,historical_only,50,0.6552640441505966,,,,,0.78,0.56,0.5010561766023863,380.3658993244171,205.15392112731934,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v1_50,,Unfair reranker comparison: candidate_stronger_reranker_v1 used qwen3_4b with max_length=1024 while v7_baseline used 2048.,[]
candidate_stronger_reranker_v2_fair_50,candidate_stronger_reranker_v2_fair,candidate_stronger_reranker_v2_fair,model_choice,50q,artifact_present,offline_named_preset,fair,trusted_offline,50,0.8750663988140291,,,,,0.9,0.9,0.8002655952561162,392.26455068588257,242.6066873073578,,,,,{},f98e0a276d57959d68bc5c6b5c3a3e143651ec68b83f16dbff75fec4ee8e7ee2,a30-interactive,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v2_fair_50,,,[]
candidate_stronger_reranker_v2_fair_fold0,candidate_stronger_reranker_v2_fair,candidate_stronger_reranker_v2_fair,model_choice,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8483848122227506,,,,,0.8356164383561644,0.9178082191780822,0.8044981530005905,567.5150289535522,357.20685172080994,0.017515475606954593,0.136986301369863,0.136986301369863,0.0821917808219178,"{""domain_1"": 0.043359929956718536, ""domain_2"": -0.010544217687074831}",17645ce03913eecd0cfba754db34be388604f085fde836e2dc4d4d13b8d26a97,a30-interactive,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v2_fair_fold0,,,[]
candidate_stronger_reranker_v2_fair_fold1,candidate_stronger_reranker_v2_fair,candidate_stronger_reranker_v2_fair,model_choice,fold1,artifact_present,offline_named_preset,fair,trusted_offline,78,0.9141153788019114,,,,,0.9358974358974359,0.9230769230769231,0.8615897203358502,543.7516701221466,342.76835083961487,0.04231416731416731,0.1794871794871795,0.1794871794871795,0.0,"{""domain_1"": 0.06660353535353535, ""domain_2"": 0.021494708994708994}",0eb2ea5dc546a9a7f7b6b9b1a85fee4c3c2fcdcfa738edc7589bb0aec83f2d97,a30-interactive,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v2_fair_fold1,,,[]
candidate_stronger_reranker_v2_fair_full_dev,candidate_stronger_reranker_v2_fair,candidate_stronger_reranker_v2_fair,model_choice,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.8866444215133501,,,,,0.8893709327548807,0.9370932754880694,0.830742545055567,3249.8089690208435,2130.9179015159607,0.023237478224662007,0.1279826464208243,0.21691973969631237,0.08893709327548807,"{""domain_1"": 0.022027859434145616, ""domain_2"": 0.02414814180079221}",ddd9f28957dc5456a1a41f435e165d91730018525d2e2b913292154fe8ef5aab,a30-interactive,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v2_fair_full_dev,,,[]
candidate_stronger_reranker_v2_fair_lockbox,candidate_stronger_reranker_v2_fair,candidate_stronger_reranker_v2_fair,model_choice,lockbox,artifact_present,offline_named_preset,fair,trusted_offline,95,0.9254090672225118,,,,,0.9263157894736842,0.9789473684210527,0.8700573215216258,714.0430836677551,460.6419312953949,0.03772624630884141,0.08421052631578947,0.12631578947368421,0.09473684210526316,"{""domain_1"": 0.004183591436066685, ""domain_2"": 0.06108630952380952}",0a40352abcc1c32f9f01d1f364d3ebdc652be3e169912bf430640fa7728350ba,a30-interactive,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_stronger_reranker_v2_fair_lockbox,,,[]
1pass_fold0,v7_baseline,v7_baseline,prompt_answering,fold0,artifact_present,offline_override,override,traceable_override,73,0.830869336615796,,,,,0.8493150684931506,0.8767123287671232,0.7481348807097585,308.91624307632446,100.52870011329651,0.0,0.0,0.0,0.0136986301369863,"{""domain_1"": 0.0, ""domain_2"": 0.0}",e2c87411d8f299c6c200583938701e2d10d6c6b5a4ec45cfc63a4516d5d97a3d,a30,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/1pass_fold0,,Traceable override run: benchmark_manifest.json preserves override_json.,[]
